Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	3.4461e-003
2	0.9	9.8608e-032	5.e-002	3.1927e-003
3	0.85	2.4652e-031	5.e-002	2.9394e-003
4	0.8	3.4694e-018	5.e-002	2.688e-003
5	0.75	-3.6978e-032	5.e-002	2.4401e-003
6	0.7	0.	5.e-002	2.1972e-003
7	0.65	2.4652e-032	5.e-002	1.9607e-003
8	0.6	0.	5.e-002	1.732e-003
9	0.55	2.4652e-032	5.e-002	1.5127e-003
10	0.5	-3.4694e-018	5.e-002	1.3041e-003
11	0.45	-3.4694e-018	5.e-002	1.1077e-003
12	0.4	5.5467e-032	5.e-002	9.2466e-004
13	0.35	0.	5.e-002	7.5633e-004
14	0.3	0.	5.e-002	6.0379e-004
15	0.25	-6.163e-033	5.e-002	4.6783e-004
16	0.2	-1.7347e-018	5.e-002	3.491e-004
17	0.15	9.2445e-033	5.e-002	2.4642e-004
18	0.1	-1.7347e-018	5.e-002	1.6258e-004
19	5.e-002	-3.0815e-033	5.e-002	8.5389e-005
20	5.e-002	-6.163e-033	0.	1.0339e-004
21	0.1	-3.4694e-018	0.	1.7339e-004
22	0.15	1.8489e-032	0.	2.5332e-004
23	0.2	-3.4694e-018	0.	3.5277e-004
24	0.25	-1.2326e-032	0.	4.6963e-004
25	0.3	0.	0.	6.0435e-004
26	0.35	0.	0.	7.5609e-004
27	0.4	1.1093e-031	0.	9.239e-004
28	0.45	-6.9389e-018	0.	1.1066e-003
29	0.5	-6.9389e-018	0.	1.3028e-003
30	0.55	4.9304e-032	0.	1.5113e-003
31	0.6	0.	0.	1.7306e-003
32	0.65	4.9304e-032	0.	1.9592e-003
33	0.7	0.	0.	2.1958e-003
34	0.75	-7.3956e-032	0.	2.4388e-003
35	0.8	6.9389e-018	0.	2.6868e-003
36	0.85	4.9304e-031	0.	2.9383e-003
37	0.9	1.9722e-031	0.	3.1917e-003
38	0.95	-3.4694e-018	0.	3.4451e-003
39	0.95	0.	0.1	3.4451e-003
40	0.9	0.	0.1	3.1917e-003
41	0.85	0.	0.1	2.9383e-003
42	0.8	0.	0.1	2.6868e-003
43	0.75	0.	0.1	2.4388e-003
44	0.7	0.	0.1	2.1958e-003
45	0.65	0.	0.1	1.9592e-003
46	0.6	0.	0.1	1.7306e-003
47	0.55	0.	0.1	1.5113e-003
48	0.5	0.	0.1	1.3028e-003
49	0.45	0.	0.1	1.1066e-003
50	0.4	0.	0.1	9.239e-004
51	0.35	0.	0.1	7.5609e-004
52	0.3	0.	0.1	6.0435e-004
53	0.25	0.	0.1	4.6963e-004
54	0.2	0.	0.1	3.5277e-004
55	0.15	0.	0.1	2.5332e-004
56	0.1	0.	0.1	1.7339e-004
57	5.e-002	0.	0.1	1.0339e-004
58	5.e-002	-5.e-002	0.1	1.1587e-004
59	0.1	-5.e-002	0.1	1.749e-004
60	0.15	-5.e-002	0.1	2.454e-004
61	0.2	-5.e-002	0.1	3.3728e-004
62	0.25	-5.e-002	0.1	4.4946e-004
63	0.3	-5.e-002	0.1	5.8111e-004
64	0.35	-5.e-002	0.1	7.3089e-004
65	0.4	-5.e-002	0.1	8.975e-004
66	0.45	-5.e-002	0.1	1.0795e-003
67	0.5	-5.e-002	0.1	1.2755e-003
68	0.55	-5.e-002	0.1	1.484e-003
69	0.6	-5.e-002	0.1	1.7036e-003
70	0.65	-5.e-002	0.1	1.9327e-003
71	0.7	-5.e-002	0.1	2.17e-003
72	0.75	-5.e-002	0.1	2.4139e-003
73	0.8	-5.e-002	0.1	2.663e-003
74	0.85	-5.e-002	0.1	2.9157e-003
75	0.9	-5.e-002	0.1	3.1705e-003
76	0.95	-5.e-002	0.1	3.426e-003
77	1.	-5.e-002	0.1	3.6789e-003
78	1.	0.	0.1	3.6966e-003
79	1.	5.e-002	0.1	3.741e-003
80	0.95	5.e-002	0.1	3.487e-003
