Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
269	0.2	2.5e-002	5.e-002	4.5119e-004
270	0.2	-2.5e-002	5.e-002	4.339e-004
271	0.125	-8.6736e-019	5.e-002	2.8204e-004
272	0.15	1.3867e-032	2.5e-002	3.3698e-004
273	0.15	4.6222e-033	7.5e-002	3.3698e-004
274	0.15	2.5e-002	5.e-002	3.4429e-004
275	0.15	-2.5e-002	5.e-002	3.3061e-004
276	7.5e-002	-8.6736e-019	5.e-002	1.8089e-004
277	0.1	-2.6021e-018	2.5e-002	2.3646e-004
278	0.1	-8.6736e-019	7.5e-002	2.3646e-004
279	0.1	2.5e-002	5.e-002	2.4123e-004
280	0.1	-2.5e-002	5.e-002	2.3231e-004
281	5.e-002	-4.6222e-033	2.5e-002	1.3776e-004
282	5.e-002	-1.5407e-033	7.5e-002	1.3776e-004
283	2.5e-002	-1.5407e-033	5.e-002	8.8438e-005
284	5.e-002	2.5e-002	5.e-002	1.4017e-004
285	5.e-002	-2.5e-002	5.e-002	1.3567e-004
286	7.5e-002	-1.7347e-018	0.	2.0391e-004
287	2.5e-002	-3.0815e-033	0.	1.0998e-004
288	5.e-002	2.5e-002	0.	1.62e-004
289	5.e-002	-2.5e-002	0.	1.6052e-004
290	0.125	-1.7347e-018	0.	2.9928e-004
291	0.1	2.5e-002	0.	2.5936e-004
292	0.1	-2.5e-002	0.	2.5271e-004
293	0.175	-1.7347e-018	0.	3.9843e-004
294	0.15	2.5e-002	0.	3.5803e-004
295	0.15	-2.5e-002	0.	3.4601e-004
296	0.225	-1.7347e-018	0.	5.0247e-004
297	0.2	2.5e-002	0.	4.6152e-004
298	0.2	-2.5e-002	0.	4.4539e-004
299	0.275	-6.163e-033	0.	6.0946e-004
300	0.25	2.5e-002	0.	5.6822e-004
301	0.25	-2.5e-002	0.	5.4865e-004
302	0.325	0.	0.	7.195e-004
303	0.3	2.5e-002	0.	6.7784e-004
304	0.3	-2.5e-002	0.	6.5555e-004
305	0.375	5.5467e-032	0.	8.3234e-004
306	0.35	2.5e-002	0.	7.9012e-004
307	0.35	-2.5e-002	0.	7.6571e-004
308	0.425	-3.4694e-018	0.	9.4784e-004
309	0.4	2.5e-002	0.	9.0491e-004
310	0.4	-2.5e-002	0.	8.7896e-004
311	0.475	-6.9389e-018	0.	1.0658e-003
312	0.45	2.5e-002	0.	1.022e-003
313	0.45	-2.5e-002	0.	9.9508e-004
314	0.525	-3.4694e-018	0.	1.186e-003
315	0.5	2.5e-002	0.	1.1412e-003
316	0.5	-2.5e-002	0.	1.1138e-003
317	0.575	2.4652e-032	0.	1.308e-003
318	0.55	2.5e-002	0.	1.2623e-003
319	0.55	-2.5e-002	0.	1.2349e-003
320	0.625	2.4652e-032	0.	1.4317e-003
321	0.6	2.5e-002	0.	1.3849e-003
322	0.6	-2.5e-002	0.	1.3579e-003
323	0.675	2.4652e-032	0.	1.5566e-003
324	0.65	2.5e-002	0.	1.5086e-003
325	0.65	-2.5e-002	0.	1.4826e-003
