Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
114	0.65	5.e-002	5.e-002	6.167e+007
115	0.6	5.e-002	5.e-002	7.0671e+007
116	0.55	5.e-002	5.e-002	7.967e+007
117	0.5	5.e-002	5.e-002	8.867e+007
118	0.45	5.e-002	5.e-002	9.767e+007
119	0.4	5.e-002	5.e-002	1.0667e+008
120	0.35	5.e-002	5.e-002	1.1567e+008
121	0.3	5.e-002	5.e-002	1.2466e+008
122	0.25	5.e-002	5.e-002	1.3371e+008
123	0.2	5.e-002	5.e-002	1.4258e+008
124	0.15	5.e-002	5.e-002	1.5181e+008
125	0.1	5.e-002	5.e-002	1.5925e+008
126	5.e-002	5.e-002	5.e-002	1.6908e+008
127	5.e-002	5.e-002	0.	1.931e+008
128	0.1	5.e-002	0.	1.6724e+008
129	0.15	5.e-002	0.	1.5219e+008
130	0.2	5.e-002	0.	1.4417e+008
131	0.25	5.e-002	0.	1.3494e+008
132	0.3	5.e-002	0.	1.26e+008
133	0.35	5.e-002	0.	1.1698e+008
134	0.4	5.e-002	0.	1.0799e+008
135	0.45	5.e-002	0.	9.8987e+007
136	0.5	5.e-002	0.	8.9988e+007
137	0.55	5.e-002	0.	8.099e+007
138	0.6	5.e-002	0.	7.1993e+007
139	0.65	5.e-002	0.	6.2997e+007
140	0.7	5.e-002	0.	5.4002e+007
141	0.75	5.e-002	0.	4.5017e+007
142	0.8	5.e-002	0.	3.6028e+007
143	0.85	5.e-002	0.	2.7057e+007
144	0.9	5.e-002	0.	1.8084e+007
145	0.95	5.e-002	0.	1.0891e+007
146	1.	5.e-002	0.	3.2266e+007
147	1.	5.e-002	5.e-002	3.286e+007
148	1.	0.	5.e-002	9.0869e+006
149	1.	0.	0.	9.2046e+006
150	1.	-5.e-002	0.	2.7421e+006
151	1.	-5.e-002	5.e-002	2.3533e+006
152	0.95	-5.e-002	5.e-002	6.5028e+006
153	0.9	-5.e-002	5.e-002	1.8706e+007
154	0.85	-5.e-002	5.e-002	2.7959e+007
155	0.8	-5.e-002	5.e-002	3.6887e+007
156	0.75	-5.e-002	5.e-002	4.5884e+007
157	0.7	-5.e-002	5.e-002	5.4877e+007
158	0.65	-5.e-002	5.e-002	6.3875e+007
159	0.6	-5.e-002	5.e-002	7.2874e+007
160	0.55	-5.e-002	5.e-002	8.1873e+007
161	0.5	-5.e-002	5.e-002	9.0872e+007
162	0.45	-5.e-002	5.e-002	9.9871e+007
163	0.4	-5.e-002	5.e-002	1.0887e+008
164	0.35	-5.e-002	5.e-002	1.1787e+008
165	0.3	-5.e-002	5.e-002	1.2688e+008
166	0.25	-5.e-002	5.e-002	1.3585e+008
167	0.2	-5.e-002	5.e-002	1.4491e+008
168	0.15	-5.e-002	5.e-002	1.5415e+008
169	0.1	-5.e-002	5.e-002	1.6646e+008
170	5.e-002	-5.e-002	5.e-002	2.1094e+008
171	0.95	-5.e-002	0.	6.6177e+006
172	0.9	-5.e-002	0.	1.8308e+007
173	0.85	-5.e-002	0.	2.7526e+007
174	0.8	-5.e-002	0.	3.6511e+007
175	0.75	-5.e-002	0.	4.5519e+007
176	0.7	-5.e-002	0.	5.4515e+007
177	0.65	-5.e-002	0.	6.3513e+007
178	0.6	-5.e-002	0.	7.2511e+007
179	0.55	-5.e-002	0.	8.1509e+007
180	0.5	-5.e-002	0.	9.0507e+007
181	0.45	-5.e-002	0.	9.9507e+007
182	0.4	-5.e-002	0.	1.085e+008
183	0.35	-5.e-002	0.	1.1751e+008
184	0.3	-5.e-002	0.	1.2648e+008
185	0.25	-5.e-002	0.	1.3561e+008
186	0.2	-5.e-002	0.	1.4411e+008
187	0.15	-5.e-002	0.	1.556e+008
188	0.1	-5.e-002	0.	1.5302e+008
189	5.e-002	-5.e-002	0.	1.8935e+008
190	0.925	-8.6736e-019	5.e-002	9.8299e+006
191	0.95	-2.6021e-018	2.5e-002	1.2386e+007
192	0.95	-8.6736e-019	7.5e-002	1.2386e+007
193	0.95	2.5e-002	5.e-002	4.7874e+006
194	0.975	-8.6736e-019	5.e-002	7.0453e+006
195	0.95	-2.5e-002	5.e-002	7.6934e+006
196	0.875	1.7256e-031	5.e-002	8.4904e+006
197	0.9	1.4791e-031	2.5e-002	9.7154e+006
198	0.9	4.9304e-032	7.5e-002	9.7154e+006
199	0.9	2.5e-002	5.e-002	9.3662e+006
200	0.9	-2.5e-002	5.e-002	1.0671e+007
201	0.825	1.7347e-018	5.e-002	8.1394e+006
202	0.85	3.6978e-031	2.5e-002	9.1533e+006
203	0.85	1.2326e-031	7.5e-002	9.1533e+006
204	0.85	2.5e-002	5.e-002	1.3496e+007
205	0.85	-2.5e-002	5.e-002	1.474e+007
206	0.775	1.7347e-018	5.e-002	8.0926e+006
207	0.8	5.2042e-018	2.5e-002	9.132e+006
208	0.8	1.7347e-018	7.5e-002	9.132e+006
209	0.8	2.5e-002	5.e-002	1.7883e+007
210	0.8	-2.5e-002	5.e-002	1.9031e+007
211	0.725	-1.8489e-032	5.e-002	8.0753e+006
212	0.75	-5.5467e-032	2.5e-002	9.119e+006
213	0.75	-1.8489e-032	7.5e-002	9.119e+006
214	0.75	2.5e-002	5.e-002	2.2266e+007
215	0.75	-2.5e-002	5.e-002	2.3415e+007
216	0.675	1.2326e-032	5.e-002	8.0697e+006
217	0.7	0.	2.5e-002	9.1189e+006
218	0.7	0.	7.5e-002	9.1189e+006
219	0.7	2.5e-002	5.e-002	2.6694e+007
220	0.7	-2.5e-002	5.e-002	2.7837e+007
221	0.625	1.2326e-032	5.e-002	8.0674e+006
222	0.65	3.6978e-032	2.5e-002	9.1187e+006
223	0.65	1.2326e-032	7.5e-002	9.1187e+006
224	0.65	2.5e-002	5.e-002	3.1139e+007
225	0.65	-2.5e-002	5.e-002	3.2283e+007
226	0.575	1.2326e-032	5.e-002	8.0664e+006
227	0.6	0.	2.5e-002	9.1187e+006
228	0.6	0.	7.5e-002	9.1187e+006
229	0.6	2.5e-002	5.e-002	3.5598e+007
230	0.6	-2.5e-002	5.e-002	3.6743e+007
231	0.525	-1.7347e-018	5.e-002	8.066e+006
232	0.55	3.6978e-032	2.5e-002	9.1187e+006
233	0.55	1.2326e-032	7.5e-002	9.1187e+006
234	0.55	2.5e-002	5.e-002	4.0065e+007
235	0.55	-2.5e-002	5.e-002	4.1212e+007
236	0.475	-3.4694e-018	5.e-002	8.0658e+006
237	0.5	-5.2042e-018	2.5e-002	9.1187e+006
238	0.5	-1.7347e-018	7.5e-002	9.1187e+006
239	0.5	2.5e-002	5.e-002	4.4539e+007
240	0.5	-2.5e-002	5.e-002	4.5687e+007
241	0.425	-1.7347e-018	5.e-002	8.0658e+006
242	0.45	-5.2042e-018	2.5e-002	9.1187e+006
243	0.45	-1.7347e-018	7.5e-002	9.1187e+006
244	0.45	2.5e-002	5.e-002	4.9018e+007
245	0.45	-2.5e-002	5.e-002	5.0166e+007
246	0.375	2.7733e-032	5.e-002	8.0653e+006
247	0.4	8.32e-032	2.5e-002	9.1188e+006
248	0.4	2.7733e-032	7.5e-002	9.1188e+006
249	0.4	2.5e-002	5.e-002	5.3499e+007
250	0.4	-2.5e-002	5.e-002	5.465e+007
251	0.325	0.	5.e-002	8.0673e+006
252	0.35	0.	2.5e-002	9.1183e+006
253	0.35	0.	7.5e-002	9.1183e+006
254	0.35	2.5e-002	5.e-002	5.799e+007
255	0.35	-2.5e-002	5.e-002	5.913e+007
256	0.275	-3.0815e-033	5.e-002	8.0592e+006
257	0.3	0.	2.5e-002	9.1214e+006
