Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
457	0.675	5.e-002	0.1	3.2036e-003
458	0.7	5.e-002	7.5e-002	3.3812e-003
459	0.625	5.e-002	0.1	2.8581e-003
460	0.65	5.e-002	7.5e-002	3.0303e-003
461	0.575	5.e-002	0.1	2.5251e-003
462	0.6	5.e-002	7.5e-002	2.6908e-003
463	0.525	5.e-002	0.1	2.2066e-003
464	0.55	5.e-002	7.5e-002	2.3649e-003
465	0.475	5.e-002	0.1	1.9047e-003
466	0.5	5.e-002	7.5e-002	2.0544e-003
467	0.425	5.e-002	0.1	1.6213e-003
468	0.45	5.e-002	7.5e-002	1.7613e-003
469	0.375	5.e-002	0.1	1.3581e-003
470	0.4	5.e-002	7.5e-002	1.4875e-003
471	0.325	5.e-002	0.1	1.1165e-003
472	0.35	5.e-002	7.5e-002	1.2345e-003
473	0.275	5.e-002	0.1	8.9783e-004
474	0.3	5.e-002	7.5e-002	1.0037e-003
475	0.225	5.e-002	0.1	7.0271e-004
476	0.25	5.e-002	7.5e-002	7.9568e-004
477	0.175	5.e-002	0.1	5.3071e-004
478	0.2	5.e-002	7.5e-002	6.1083e-004
479	0.125	5.e-002	0.1	3.8236e-004
480	0.15	5.e-002	7.5e-002	4.4801e-004
481	7.5e-002	5.e-002	0.1	2.4854e-004
482	0.1	5.e-002	7.5e-002	3.0643e-004
483	2.5e-002	5.e-002	0.1	1.274e-004
484	5.e-002	5.e-002	7.5e-002	1.7681e-004
485	0.	2.5e-002	0.1	0.
486	0.	5.e-002	7.5e-002	0.
487	0.	-2.5e-002	0.1	0.
488	0.	0.	7.5e-002	0.
489	0.	-5.e-002	7.5e-002	0.
490	0.	0.	2.5e-002	0.
491	0.	-2.5e-002	5.e-002	0.
492	0.	2.5e-002	5.e-002	0.
493	0.	-2.5e-002	0.	0.
494	0.	2.5e-002	0.	0.
495	0.	-5.e-002	2.5e-002	0.
496	2.5e-002	-5.e-002	0.	1.4077e-004
497	2.5e-002	-5.e-002	5.e-002	1.1235e-004
498	0.	5.e-002	2.5e-002	0.
499	2.5e-002	5.e-002	0.	1.274e-004
500	2.5e-002	5.e-002	5.e-002	1.1318e-004
501	0.925	5.e-002	5.e-002	5.0436e-003
502	0.95	5.e-002	2.5e-002	5.2313e-003
503	0.975	5.e-002	5.e-002	5.4193e-003
504	0.875	5.e-002	5.e-002	4.6682e-003
505	0.9	5.e-002	2.5e-002	4.8559e-003
506	0.825	5.e-002	5.e-002	4.2945e-003
507	0.85	5.e-002	2.5e-002	4.4809e-003
508	0.775	5.e-002	5.e-002	3.9245e-003
509	0.8	5.e-002	2.5e-002	4.1087e-003
510	0.725	5.e-002	5.e-002	3.5605e-003
511	0.75	5.e-002	2.5e-002	3.7414e-003
512	0.675	5.e-002	5.e-002	3.2047e-003
513	0.7	5.e-002	2.5e-002	3.3812e-003
514	0.625	5.e-002	5.e-002	2.8593e-003
515	0.65	5.e-002	2.5e-002	3.0303e-003
516	0.575	5.e-002	5.e-002	2.5263e-003
517	0.6	5.e-002	2.5e-002	2.6908e-003
518	0.525	5.e-002	5.e-002	2.2078e-003
519	0.55	5.e-002	2.5e-002	2.3649e-003
520	0.475	5.e-002	5.e-002	1.9058e-003
521	0.5	5.e-002	2.5e-002	2.0544e-003
522	0.425	5.e-002	5.e-002	1.6221e-003
523	0.45	5.e-002	2.5e-002	1.7613e-003
524	0.375	5.e-002	5.e-002	1.3584e-003
525	0.4	5.e-002	2.5e-002	1.4875e-003
526	0.325	5.e-002	5.e-002	1.1161e-003
527	0.35	5.e-002	2.5e-002	1.2345e-003
528	0.275	5.e-002	5.e-002	8.9635e-004
529	0.3	5.e-002	2.5e-002	1.0037e-003
530	0.225	5.e-002	5.e-002	6.9962e-004
531	0.25	5.e-002	2.5e-002	7.9568e-004
532	0.175	5.e-002	5.e-002	5.2512e-004
533	0.2	5.e-002	2.5e-002	6.1083e-004
534	0.125	5.e-002	5.e-002	3.7304e-004
535	0.15	5.e-002	2.5e-002	4.4801e-004
536	7.5e-002	5.e-002	5.e-002	2.3703e-004
537	0.1	5.e-002	2.5e-002	3.0643e-004
538	5.e-002	5.e-002	2.5e-002	1.7681e-004
539	7.5e-002	5.e-002	0.	2.4854e-004
540	0.125	5.e-002	0.	3.8236e-004
541	0.175	5.e-002	0.	5.3071e-004
542	0.225	5.e-002	0.	7.0271e-004
543	0.275	5.e-002	0.	8.9783e-004
544	0.325	5.e-002	0.	1.1165e-003
545	0.375	5.e-002	0.	1.3581e-003
