Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	1.8705e-003
2	0.9	9.8608e-032	5.e-002	1.7539e-003
3	0.85	2.4652e-031	5.e-002	1.6361e-003
4	0.8	3.4694e-018	5.e-002	1.5182e-003
5	0.75	-3.6978e-032	5.e-002	1.4009e-003
6	0.7	0.	5.e-002	1.2847e-003
7	0.65	2.4652e-032	5.e-002	1.1704e-003
8	0.6	0.	5.e-002	1.0584e-003
9	0.55	2.4652e-032	5.e-002	9.4931e-004
10	0.5	-3.4694e-018	5.e-002	8.4364e-004
11	0.45	-3.4694e-018	5.e-002	7.4182e-004
12	0.4	5.5467e-032	5.e-002	6.4423e-004
13	0.35	0.	5.e-002	5.5114e-004
14	0.3	0.	5.e-002	4.6274e-004
15	0.25	-6.163e-033	5.e-002	3.7898e-004
16	0.2	-1.7347e-018	5.e-002	2.9996e-004
17	0.15	9.2445e-033	5.e-002	2.2429e-004
18	0.1	-1.7347e-018	5.e-002	1.5596e-004
19	5.e-002	-3.0815e-033	5.e-002	8.4593e-005
20	5.e-002	-6.163e-033	0.	1.0309e-004
21	0.1	-3.4694e-018	0.	1.6832e-004
22	0.15	1.8489e-032	0.	2.3363e-004
23	0.2	-3.4694e-018	0.	3.0652e-004
24	0.25	-1.2326e-032	0.	3.8387e-004
25	0.3	0.	0.	4.6644e-004
26	0.35	0.	0.	5.5397e-004
27	0.4	1.1093e-031	0.	6.464e-004
28	0.45	-6.9389e-018	0.	7.4349e-004
29	0.5	-6.9389e-018	0.	8.4492e-004
30	0.55	4.9304e-032	0.	9.5029e-004
31	0.6	0.	0.	1.0591e-003
32	0.65	4.9304e-032	0.	1.1709e-003
33	0.7	0.	0.	1.2852e-003
34	0.75	-7.3956e-032	0.	1.4012e-003
35	0.8	6.9389e-018	0.	1.5185e-003
36	0.85	4.9304e-031	0.	1.6363e-003
37	0.9	1.9722e-031	0.	1.7541e-003
38	0.95	-3.4694e-018	0.	1.8706e-003
39	0.95	0.	0.1	1.8706e-003
40	0.9	0.	0.1	1.7541e-003
41	0.85	0.	0.1	1.6363e-003
42	0.8	0.	0.1	1.5185e-003
43	0.75	0.	0.1	1.4012e-003
44	0.7	0.	0.1	1.2852e-003
45	0.65	0.	0.1	1.1709e-003
46	0.6	0.	0.1	1.0591e-003
47	0.55	0.	0.1	9.5029e-004
48	0.5	0.	0.1	8.4492e-004
49	0.45	0.	0.1	7.4349e-004
50	0.4	0.	0.1	6.464e-004
