Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.95	-1.7347e-018	5.e-002	8.2469e+006
2	0.9	9.8608e-032	5.e-002	6.2311e+006
3	0.85	2.4652e-031	5.e-002	5.6094e+006
4	0.8	3.4694e-018	5.e-002	5.477e+006
5	0.75	-3.6978e-032	5.e-002	5.4195e+006
6	0.7	0.	5.e-002	5.397e+006
7	0.65	2.4652e-032	5.e-002	5.3872e+006
8	0.6	0.	5.e-002	5.3828e+006
9	0.55	2.4652e-032	5.e-002	5.3809e+006
10	0.5	-3.4694e-018	5.e-002	5.38e+006
11	0.45	-3.4694e-018	5.e-002	5.3796e+006
12	0.4	5.5467e-032	5.e-002	5.3797e+006
13	0.35	0.	5.e-002	5.3782e+006
14	0.3	0.	5.e-002	5.3852e+006
15	0.25	-6.163e-033	5.e-002	5.3638e+006
16	0.2	-1.7347e-018	5.e-002	5.5706e+006
17	0.15	9.2445e-033	5.e-002	7.1098e+006
18	0.1	-1.7347e-018	5.e-002	3.6479e+007
19	5.e-002	-3.0815e-033	5.e-002	1.1868e+008
20	5.e-002	-6.163e-033	0.	1.5224e+008
21	0.1	-3.4694e-018	0.	1.9829e+007
22	0.15	1.8489e-032	0.	8.9985e+006
23	0.2	-3.4694e-018	0.	8.0665e+006
24	0.25	-1.2326e-032	0.	8.0771e+006
25	0.3	0.	0.	8.0046e+006
26	0.35	0.	0.	8.0265e+006
27	0.4	1.1093e-031	0.	8.0181e+006
28	0.45	-6.9389e-018	0.	8.0208e+006
29	0.5	-6.9389e-018	0.	8.0197e+006
30	0.55	4.9304e-032	0.	8.0196e+006
31	0.6	0.	0.	8.0186e+006
32	0.65	4.9304e-032	0.	8.0164e+006
33	0.7	0.	0.	8.0122e+006
34	0.75	-7.3956e-032	0.	7.9998e+006
35	0.8	6.9389e-018	0.	7.9922e+006
36	0.85	4.9304e-031	0.	7.9539e+006
37	0.9	1.9722e-031	0.	8.1371e+006
38	0.95	-3.4694e-018	0.	8.4304e+006
39	0.95	0.	0.1	8.4304e+006
40	0.9	0.	0.1	8.1371e+006
41	0.85	0.	0.1	7.9539e+006
42	0.8	0.	0.1	7.9922e+006
43	0.75	0.	0.1	7.9998e+006
44	0.7	0.	0.1	8.0122e+006
45	0.65	0.	0.1	8.0164e+006
46	0.6	0.	0.1	8.0186e+006
47	0.55	0.	0.1	8.0196e+006
48	0.5	0.	0.1	8.0197e+006
49	0.45	0.	0.1	8.0208e+006
50	0.4	0.	0.1	8.0181e+006
51	0.35	0.	0.1	8.0265e+006
52	0.3	0.	0.1	8.0046e+006
53	0.25	0.	0.1	8.0771e+006
54	0.2	0.	0.1	8.0665e+006
55	0.15	0.	0.1	8.9985e+006
56	0.1	0.	0.1	1.9829e+007
57	5.e-002	0.	0.1	1.5224e+008
58	5.e-002	-5.e-002	0.1	2.3518e+008
59	0.1	-5.e-002	0.1	8.5022e+007
60	0.15	-5.e-002	0.1	1.0865e+008
61	0.2	-5.e-002	0.1	9.6543e+007
62	0.25	-5.e-002	0.1	9.1779e+007
63	0.3	-5.e-002	0.1	8.5458e+007
64	0.35	-5.e-002	0.1	7.9538e+007
65	0.4	-5.e-002	0.1	7.3517e+007
66	0.45	-5.e-002	0.1	6.7524e+007
67	0.5	-5.e-002	0.1	6.1523e+007
68	0.55	-5.e-002	0.1	5.5524e+007
69	0.6	-5.e-002	0.1	4.9525e+007
70	0.65	-5.e-002	0.1	4.3525e+007
71	0.7	-5.e-002	0.1	3.7524e+007
72	0.75	-5.e-002	0.1	3.1522e+007
73	0.8	-5.e-002	0.1	2.5506e+007
74	0.85	-5.e-002	0.1	1.9486e+007
75	0.9	-5.e-002	0.1	1.3297e+007
76	0.95	-5.e-002	0.1	5.1118e+006
77	1.	-5.e-002	0.1	2.076e+006
78	1.	0.	0.1	7.8939e+006
79	1.	5.e-002	0.1	2.1828e+007
80	0.95	5.e-002	0.1	7.8632e+006
81	0.9	5.e-002	0.1	1.2334e+007
82	0.85	5.e-002	0.1	1.812e+007
83	0.8	5.e-002	0.1	2.4024e+007
84	0.75	5.e-002	0.1	2.9978e+007
85	0.7	5.e-002	0.1	3.5952e+007
86	0.65	5.e-002	0.1	4.1941e+007
87	0.6	5.e-002	0.1	4.7935e+007
88	0.55	5.e-002	0.1	5.3932e+007
89	0.5	5.e-002	0.1	5.9931e+007
90	0.45	5.e-002	0.1	6.5928e+007
91	0.4	5.e-002	0.1	7.1932e+007
92	0.35	5.e-002	0.1	7.7913e+007
93	0.3	5.e-002	0.1	8.3981e+007
94	0.25	5.e-002	0.1	8.972e+007
95	0.2	5.e-002	0.1	9.6722e+007
96	0.15	5.e-002	0.1	9.8188e+007
97	0.1	5.e-002	0.1	1.2863e+008
98	5.e-002	5.e-002	0.1	2.3629e+008
99	0.	5.e-002	0.1	8.8845e+008
100	0.	0.	0.1	7.5225e+008
101	0.	-5.e-002	0.1	9.834e+008
102	0.	0.	5.e-002	6.4883e+008
103	0.	0.	0.	7.5225e+008
104	0.	-5.e-002	0.	9.834e+008
105	0.	-5.e-002	5.e-002	7.6997e+008
106	0.	5.e-002	0.	8.8845e+008
107	0.	5.e-002	5.e-002	7.5679e+008
108	0.95	5.e-002	5.e-002	5.9365e+006
109	0.9	5.e-002	5.e-002	7.6447e+006
110	0.85	5.e-002	5.e-002	1.3653e+007
111	0.8	5.e-002	5.e-002	1.9848e+007
112	0.75	5.e-002	5.e-002	2.5877e+007
113	0.7	5.e-002	5.e-002	3.1895e+007
114	0.65	5.e-002	5.e-002	3.79e+007
115	0.6	5.e-002	5.e-002	4.3903e+007
116	0.55	5.e-002	5.e-002	4.9903e+007
117	0.5	5.e-002	5.e-002	5.5903e+007
118	0.45	5.e-002	5.e-002	6.1905e+007
119	0.4	5.e-002	5.e-002	6.7899e+007
120	0.35	5.e-002	5.e-002	7.3915e+007
121	0.3	5.e-002	5.e-002	7.9867e+007
122	0.25	5.e-002	5.e-002	8.6001e+007
123	0.2	5.e-002	5.e-002	9.1706e+007
124	0.15	5.e-002	5.e-002	9.7944e+007
125	0.1	5.e-002	5.e-002	9.869e+007
126	5.e-002	5.e-002	5.e-002	1.5247e+008
127	5.e-002	5.e-002	0.	2.3629e+008
128	0.1	5.e-002	0.	1.2863e+008
129	0.15	5.e-002	0.	9.8188e+007
130	0.2	5.e-002	0.	9.6722e+007
131	0.25	5.e-002	0.	8.972e+007
132	0.3	5.e-002	0.	8.3981e+007
133	0.35	5.e-002	0.	7.7913e+007
134	0.4	5.e-002	0.	7.1932e+007
135	0.45	5.e-002	0.	6.5928e+007
136	0.5	5.e-002	0.	5.9931e+007
137	0.55	5.e-002	0.	5.3932e+007
138	0.6	5.e-002	0.	4.7935e+007
139	0.65	5.e-002	0.	4.1941e+007
140	0.7	5.e-002	0.	3.5952e+007
141	0.75	5.e-002	0.	2.9978e+007
142	0.8	5.e-002	0.	2.4024e+007
143	0.85	5.e-002	0.	1.812e+007
144	0.9	5.e-002	0.	1.2334e+007
145	0.95	5.e-002	0.	7.8632e+006
146	1.	5.e-002	0.	2.1828e+007
147	1.	5.e-002	5.e-002	2.2296e+007
148	1.	0.	5.e-002	7.5338e+006
149	1.	0.	0.	7.8939e+006
150	1.	-5.e-002	0.	2.076e+006
151	1.	-5.e-002	5.e-002	1.7967e+006
152	0.95	-5.e-002	5.e-002	5.848e+006
153	0.9	-5.e-002	5.e-002	1.4863e+007
154	0.85	-5.e-002	5.e-002	2.0779e+007
155	0.8	-5.e-002	5.e-002	2.6702e+007
156	0.75	-5.e-002	5.e-002	3.2679e+007
157	0.7	-5.e-002	5.e-002	3.867e+007
158	0.65	-5.e-002	5.e-002	4.4665e+007
159	0.6	-5.e-002	5.e-002	5.0663e+007
160	0.55	-5.e-002	5.e-002	5.6662e+007
161	0.5	-5.e-002	5.e-002	6.2661e+007
162	0.45	-5.e-002	5.e-002	6.8659e+007
163	0.4	-5.e-002	5.e-002	7.4664e+007
164	0.35	-5.e-002	5.e-002	8.0648e+007
165	0.3	-5.e-002	5.e-002	8.6693e+007
166	0.25	-5.e-002	5.e-002	9.2574e+007
167	0.2	-5.e-002	5.e-002	9.8841e+007
168	0.15	-5.e-002	5.e-002	1.0511e+008
169	0.1	-5.e-002	5.e-002	1.2071e+008
170	5.e-002	-5.e-002	5.e-002	2.3998e+008
171	0.95	-5.e-002	0.	5.1118e+006
172	0.9	-5.e-002	0.	1.3297e+007
173	0.85	-5.e-002	0.	1.9486e+007
174	0.8	-5.e-002	0.	2.5506e+007
175	0.75	-5.e-002	0.	3.1522e+007
176	0.7	-5.e-002	0.	3.7524e+007
177	0.65	-5.e-002	0.	4.3525e+007
178	0.6	-5.e-002	0.	4.9525e+007
179	0.55	-5.e-002	0.	5.5524e+007
180	0.5	-5.e-002	0.	6.1523e+007
181	0.45	-5.e-002	0.	6.7524e+007
182	0.4	-5.e-002	0.	7.3517e+007
183	0.35	-5.e-002	0.	7.9538e+007
184	0.3	-5.e-002	0.	8.5458e+007
185	0.25	-5.e-002	0.	9.1779e+007
186	0.2	-5.e-002	0.	9.6543e+007
187	0.15	-5.e-002	0.	1.0865e+008
188	0.1	-5.e-002	0.	8.5022e+007
189	5.e-002	-5.e-002	0.	2.3518e+008
190	0.925	-8.6736e-019	5.e-002	7.1366e+006
191	0.95	-2.6021e-018	2.5e-002	8.1416e+006
192	0.95	-8.6736e-019	7.5e-002	8.1416e+006
193	0.95	2.5e-002	5.e-002	3.5098e+006
194	0.975	-8.6736e-019	5.e-002	5.316e+006
195	0.95	-2.5e-002	5.e-002	6.2495e+006
196	0.875	1.7256e-031	5.e-002	5.9182e+006
197	0.9	1.4791e-031	2.5e-002	6.7526e+006
198	0.9	4.9304e-032	7.5e-002	6.7526e+006
199	0.9	2.5e-002	5.e-002	4.7017e+006
200	0.9	-2.5e-002	5.e-002	8.4808e+006
201	0.825	1.7347e-018	5.e-002	5.5431e+006
202	0.85	3.6978e-031	2.5e-002	6.434e+006
203	0.85	1.2326e-031	7.5e-002	6.434e+006
204	0.85	2.5e-002	5.e-002	7.3867e+006
205	0.85	-2.5e-002	5.e-002	1.0991e+007
206	0.775	1.7347e-018	5.e-002	5.4482e+006
207	0.8	5.2042e-018	2.5e-002	6.4202e+006
208	0.8	1.7347e-018	7.5e-002	6.4202e+006
209	0.8	2.5e-002	5.e-002	1.0278e+007
210	0.8	-2.5e-002	5.e-002	1.3811e+007
211	0.725	-1.8489e-032	5.e-002	5.4082e+006
212	0.75	-5.5467e-032	2.5e-002	6.4107e+006
213	0.75	-1.8489e-032	7.5e-002	6.4107e+006
214	0.75	2.5e-002	5.e-002	1.3199e+007
215	0.75	-2.5e-002	5.e-002	1.6713e+007
216	0.675	1.2326e-032	5.e-002	5.3921e+006
217	0.7	0.	2.5e-002	6.4115e+006
218	0.7	0.	7.5e-002	6.4115e+006
219	0.7	2.5e-002	5.e-002	1.6147e+007
220	0.7	-2.5e-002	5.e-002	1.9656e+007
221	0.625	1.2326e-032	5.e-002	5.385e+006
222	0.65	3.6978e-032	2.5e-002	6.4115e+006
223	0.65	1.2326e-032	7.5e-002	6.4115e+006
224	0.65	2.5e-002	5.e-002	1.9108e+007
225	0.65	-2.5e-002	5.e-002	2.2618e+007
226	0.575	1.2326e-032	5.e-002	5.3818e+006
227	0.6	0.	2.5e-002	6.4116e+006
228	0.6	0.	7.5e-002	6.4116e+006
229	0.6	2.5e-002	5.e-002	2.2077e+007
230	0.6	-2.5e-002	5.e-002	2.5591e+007
231	0.525	-1.7347e-018	5.e-002	5.3804e+006
232	0.55	3.6978e-032	2.5e-002	6.4117e+006
233	0.55	1.2326e-032	7.5e-002	6.4117e+006
234	0.55	2.5e-002	5.e-002	2.5054e+007
235	0.55	-2.5e-002	5.e-002	2.8571e+007
236	0.475	-3.4694e-018	5.e-002	5.3798e+006
237	0.5	-5.2042e-018	2.5e-002	6.4116e+006
238	0.5	-1.7347e-018	7.5e-002	6.4116e+006
239	0.5	2.5e-002	5.e-002	2.8034e+007
240	0.5	-2.5e-002	5.e-002	3.1555e+007
241	0.425	-1.7347e-018	5.e-002	5.3797e+006
242	0.45	-5.2042e-018	2.5e-002	6.412e+006
243	0.45	-1.7347e-018	7.5e-002	6.412e+006
244	0.45	2.5e-002	5.e-002	3.102e+007
245	0.45	-2.5e-002	5.e-002	3.4541e+007
246	0.375	2.7733e-032	5.e-002	5.3789e+006
247	0.4	8.32e-032	2.5e-002	6.4106e+006
248	0.4	2.7733e-032	7.5e-002	6.4106e+006
249	0.4	2.5e-002	5.e-002	3.4002e+007
250	0.4	-2.5e-002	5.e-002	3.7535e+007
251	0.325	0.	5.e-002	5.3815e+006
252	0.35	0.	2.5e-002	6.4156e+006
253	0.35	0.	7.5e-002	6.4156e+006
254	0.35	2.5e-002	5.e-002	3.7009e+007
255	0.35	-2.5e-002	5.e-002	4.0508e+007
256	0.275	-3.0815e-033	5.e-002	5.3717e+006
257	0.3	0.	2.5e-002	6.3991e+006
258	0.3	0.	7.5e-002	6.3991e+006
259	0.3	2.5e-002	5.e-002	3.9933e+007
260	0.3	-2.5e-002	5.e-002	4.3565e+007
261	0.225	-8.6736e-019	5.e-002	5.4306e+006
262	0.25	-9.2445e-033	2.5e-002	6.4697e+006
263	0.25	-3.0815e-033	7.5e-002	6.4697e+006
