Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	5.3315e-003
2	0.9	9.8608e-032	5.e-002	4.9092e-003
3	0.85	2.4652e-031	5.e-002	4.4898e-003
4	0.8	3.4694e-018	5.e-002	4.0758e-003
5	0.75	-3.6978e-032	5.e-002	3.6695e-003
6	0.7	0.	5.e-002	3.2731e-003
7	0.65	2.4652e-032	5.e-002	2.8889e-003
8	0.6	0.	5.e-002	2.5192e-003
9	0.55	2.4652e-032	5.e-002	2.1662e-003
10	0.5	-3.4694e-018	5.e-002	1.8321e-003
11	0.45	-3.4694e-018	5.e-002	1.5192e-003
12	0.4	5.5467e-032	5.e-002	1.2298e-003
13	0.35	0.	5.e-002	9.6614e-004
14	0.3	0.	5.e-002	7.3042e-004
15	0.25	-6.163e-033	5.e-002	5.2491e-004
16	0.2	-1.7347e-018	5.e-002	3.519e-004
17	0.15	9.2445e-033	5.e-002	2.1337e-004
18	0.1	-1.7347e-018	5.e-002	1.125e-004
19	5.e-002	-3.0815e-033	5.e-002	4.6574e-005
20	5.e-002	-6.163e-033	0.	5.2951e-005
21	0.1	-3.4694e-018	0.	1.123e-004
22	0.15	1.8489e-032	0.	2.1054e-004
23	0.2	-3.4694e-018	0.	3.4793e-004
24	0.25	-1.2326e-032	0.	5.2057e-004
25	0.3	0.	0.	7.2602e-004
26	0.35	0.	0.	9.6183e-004
27	0.4	1.1093e-031	0.	1.2257e-003
28	0.45	-6.9389e-018	0.	1.5153e-003
29	0.5	-6.9389e-018	0.	1.8284e-003
30	0.55	4.9304e-032	0.	2.1628e-003
31	0.6	0.	0.	2.5161e-003
32	0.65	4.9304e-032	0.	2.8861e-003
33	0.7	0.	0.	3.2706e-003
34	0.75	-7.3956e-032	0.	3.6673e-003
35	0.8	6.9389e-018	0.	4.074e-003
36	0.85	4.9304e-031	0.	4.4883e-003
37	0.9	1.9722e-031	0.	4.908e-003
38	0.95	-3.4694e-018	0.	5.3305e-003
39	0.95	0.	0.1	5.3305e-003
40	0.9	0.	0.1	4.908e-003
41	0.85	0.	0.1	4.4883e-003
42	0.8	0.	0.1	4.074e-003
43	0.75	0.	0.1	3.6673e-003
44	0.7	0.	0.1	3.2706e-003
45	0.65	0.	0.1	2.8861e-003
46	0.6	0.	0.1	2.5161e-003
47	0.55	0.	0.1	2.1628e-003
48	0.5	0.	0.1	1.8284e-003
49	0.45	0.	0.1	1.5153e-003
50	0.4	0.	0.1	1.2257e-003
51	0.35	0.	0.1	9.6183e-004
52	0.3	0.	0.1	7.2602e-004
53	0.25	0.	0.1	5.2057e-004
54	0.2	0.	0.1	3.4793e-004
55	0.15	0.	0.1	2.1054e-004
56	0.1	0.	0.1	1.123e-004
57	5.e-002	0.	0.1	5.2951e-005
58	5.e-002	-5.e-002	0.1	6.7893e-005
59	0.1	-5.e-002	0.1	1.2519e-004
60	0.15	-5.e-002	0.1	2.2245e-004
61	0.2	-5.e-002	0.1	3.5856e-004
62	0.25	-5.e-002	0.1	5.3026e-004
63	0.3	-5.e-002	0.1	7.3478e-004
64	0.35	-5.e-002	0.1	9.6971e-004
65	0.4	-5.e-002	0.1	1.2327e-003
66	0.45	-5.e-002	0.1	1.5215e-003
67	0.5	-5.e-002	0.1	1.8338e-003
68	0.55	-5.e-002	0.1	2.1674e-003
69	0.6	-5.e-002	0.1	2.5199e-003
70	0.65	-5.e-002	0.1	2.8892e-003
71	0.7	-5.e-002	0.1	3.2731e-003
72	0.75	-5.e-002	0.1	3.6691e-003
73	0.8	-5.e-002	0.1	4.0752e-003
74	0.85	-5.e-002	0.1	4.489e-003
75	0.9	-5.e-002	0.1	4.9084e-003
76	0.95	-5.e-002	0.1	5.331e-003
77	1.	-5.e-002	0.1	5.7526e-003
78	1.	0.	0.1	5.7531e-003
79	1.	5.e-002	0.1	5.7941e-003
80	0.95	5.e-002	0.1	5.3663e-003
81	0.9	5.e-002	0.1	4.9464e-003
82	0.85	5.e-002	0.1	4.5292e-003
83	0.8	5.e-002	0.1	4.1176e-003
84	0.75	5.e-002	0.1	3.7136e-003
85	0.7	5.e-002	0.1	3.3196e-003
86	0.65	5.e-002	0.1	2.9376e-003
87	0.6	5.e-002	0.1	2.5701e-003
88	0.55	5.e-002	0.1	2.2192e-003
89	0.5	5.e-002	0.1	1.8872e-003
90	0.45	5.e-002	0.1	1.5763e-003
91	0.4	5.e-002	0.1	1.2887e-003
92	0.35	5.e-002	0.1	1.0266e-003
93	0.3	5.e-002	0.1	7.921e-004
94	0.25	5.e-002	0.1	5.8719e-004
95	0.2	5.e-002	0.1	4.1364e-004
96	0.15	5.e-002	0.1	2.7245e-004
97	0.1	5.e-002	0.1	1.6362e-004
98	5.e-002	5.e-002	0.1	7.9176e-005
99	0.	5.e-002	0.1	0.
100	0.	0.	0.1	0.
101	0.	-5.e-002	0.1	0.
102	0.	0.	5.e-002	0.
