Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	2.4113e+07
2	0.	-0.05	0.025	2.3925e+07
3	0.	-0.05	0.05	2.3875e+07
4	0.	-0.05	0.075	2.4197e+07
5	0.	-0.05	0.1	2.4022e+07
6	0.	-0.025	0.	8.3980e+07
7	0.	-0.025	0.025	8.4168e+07
8	0.	-0.025	0.05	8.4318e+07
9	0.	-0.025	0.075	8.4052e+07
10	0.	-0.025	0.1	8.4900e+07
11	0.	0.	0.	1.4555e+08
12	0.	0.	0.025	1.4471e+08
13	0.	0.	0.05	1.4568e+08
14	0.	0.	0.075	1.4410e+08
15	0.	0.	0.1	1.4489e+08
16	0.	0.025	0.	2.0568e+08
17	0.	0.025	0.025	2.0570e+08
18	0.	0.025	0.05	2.0553e+08
19	0.	0.025	0.075	2.0507e+08
20	0.	0.025	0.1	2.0723e+08
21	0.	0.05	0.	2.6286e+08
22	0.	0.05	0.025	2.6367e+08
23	0.	0.05	0.05	2.6355e+08
24	0.	0.05	0.075	2.6322e+08
25	0.	0.05	0.1	2.5980e+08
26	0.025	-0.05	0.	2.7297e+07
27	0.025	-0.05	0.025	2.6778e+07
28	0.025	-0.05	0.05	2.7037e+07
29	0.025	-0.05	0.075	2.6693e+07
30	0.025	-0.05	0.1	2.7134e+07
31	0.025	-0.025	0.	8.5051e+07
32	0.025	-0.025	0.025	8.4811e+07
33	0.025	-0.025	0.05	8.5722e+07
34	0.025	-0.025	0.075	8.5109e+07
35	0.025	-0.025	0.1	8.5196e+07
36	0.025	0.	0.	1.4429e+08
37	0.025	0.	0.025	1.4502e+08
38	0.025	0.	0.05	1.4315e+08
39	0.025	0.	0.075	1.4295e+08
40	0.025	0.	0.1	1.4412e+08
41	0.025	0.025	0.	2.0341e+08
42	0.025	0.025	0.025	2.0491e+08
43	0.025	0.025	0.05	2.0080e+08
44	0.025	0.025	0.075	2.0202e+08
45	0.025	0.025	0.1	2.0444e+08
46	0.025	0.05	0.	2.6512e+08
47	0.025	0.05	0.025	2.5893e+08
48	0.025	0.05	0.05	2.5946e+08
49	0.025	0.05	0.075	2.6180e+08
50	0.025	0.05	0.1	2.5979e+08
51	0.05	-0.05	0.	2.9818e+07
52	0.05	-0.05	0.025	3.0059e+07
