Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	3.7017e-003
2	0.9	9.8608e-032	5.e-002	3.4031e-003
3	0.85	2.4652e-031	5.e-002	3.1074e-003
4	0.8	3.4694e-018	5.e-002	2.8163e-003
5	0.75	-3.6978e-032	5.e-002	2.5312e-003
6	0.7	0.	5.e-002	2.2536e-003
7	0.65	2.4652e-032	5.e-002	1.9851e-003
8	0.6	0.	5.e-002	1.7272e-003
9	0.55	2.4652e-032	5.e-002	1.4813e-003
10	0.5	-3.4694e-018	5.e-002	1.2489e-003
11	0.45	-3.4694e-018	5.e-002	1.0316e-003
12	0.4	5.5467e-032	5.e-002	8.3083e-004
13	0.35	0.	5.e-002	6.4811e-004
14	0.3	0.	5.e-002	4.8494e-004
15	0.25	-6.163e-033	5.e-002	3.4281e-004
16	0.2	-1.7347e-018	5.e-002	2.2322e-004
17	0.15	9.2445e-033	5.e-002	1.277e-004
18	0.1	-1.7347e-018	5.e-002	5.7664e-005
19	5.e-002	-3.0815e-033	5.e-002	1.4806e-005
20	5.e-002	-6.163e-033	0.	1.1421e-005
21	0.1	-3.4694e-018	0.	5.3763e-005
22	0.15	1.8489e-032	0.	1.2392e-004
23	0.2	-3.4694e-018	0.	2.1965e-004
24	0.25	-1.2326e-032	0.	3.3946e-004
25	0.3	0.	0.	4.8181e-004
26	0.35	0.	0.	6.4521e-004
27	0.4	1.1093e-031	0.	8.2816e-004
28	0.45	-6.9389e-018	0.	1.0291e-003
29	0.5	-6.9389e-018	0.	1.2467e-003
30	0.55	4.9304e-032	0.	1.4793e-003
31	0.6	0.	0.	1.7254e-003
32	0.65	4.9304e-032	0.	1.9836e-003
33	0.7	0.	0.	2.2523e-003
34	0.75	-7.3956e-032	0.	2.5301e-003
35	0.8	6.9389e-018	0.	2.8154e-003
36	0.85	4.9304e-031	0.	3.1068e-003
37	0.9	1.9722e-031	0.	3.4027e-003
38	0.95	-3.4694e-018	0.	3.7014e-003
39	0.95	0.	0.1	3.7014e-003
40	0.9	0.	0.1	3.4027e-003
41	0.85	0.	0.1	3.1068e-003
42	0.8	0.	0.1	2.8154e-003
43	0.75	0.	0.1	2.5301e-003
44	0.7	0.	0.1	2.2523e-003
45	0.65	0.	0.1	1.9836e-003
46	0.6	0.	0.1	1.7254e-003
47	0.55	0.	0.1	1.4793e-003
48	0.5	0.	0.1	1.2467e-003
49	0.45	0.	0.1	1.0291e-003
50	0.4	0.	0.1	8.2816e-004
51	0.35	0.	0.1	6.4521e-004
52	0.3	0.	0.1	4.8181e-004
53	0.25	0.	0.1	3.3946e-004
54	0.2	0.	0.1	2.1965e-004
55	0.15	0.	0.1	1.2392e-004
56	0.1	0.	0.1	5.3763e-005
57	5.e-002	0.	0.1	1.1421e-005
58	5.e-002	-5.e-002	0.1	3.2856e-005
59	0.1	-5.e-002	0.1	8.1173e-005
60	0.15	-5.e-002	0.1	1.5274e-004
61	0.2	-5.e-002	0.1	2.4843e-004
62	0.25	-5.e-002	0.1	3.6763e-004
63	0.3	-5.e-002	0.1	5.0913e-004
64	0.35	-5.e-002	0.1	6.7154e-004
65	0.4	-5.e-002	0.1	8.5343e-004
66	0.45	-5.e-002	0.1	1.0533e-003
67	0.5	-5.e-002	0.1	1.2697e-003
68	0.55	-5.e-002	0.1	1.5012e-003
69	0.6	-5.e-002	0.1	1.7462e-003
70	0.65	-5.e-002	0.1	2.0032e-003
71	0.7	-5.e-002	0.1	2.2708e-003
72	0.75	-5.e-002	0.1	2.5474e-003
73	0.8	-5.e-002	0.1	2.8316e-003
74	0.85	-5.e-002	0.1	3.1218e-003
75	0.9	-5.e-002	0.1	3.4167e-003
76	0.95	-5.e-002	0.1	3.7147e-003
77	1.	-5.e-002	0.1	4.0133e-003
78	1.	0.	0.1	4.0014e-003
79	1.	5.e-002	0.1	4.0168e-003
80	0.95	5.e-002	0.1	3.7131e-003
81	0.9	5.e-002	0.1	3.4153e-003
82	0.85	5.e-002	0.1	3.1204e-003
83	0.8	5.e-002	0.1	2.8301e-003
84	0.75	5.e-002	0.1	2.5458e-003
85	0.7	5.e-002	0.1	2.2691e-003
86	0.65	5.e-002	0.1	2.0015e-003
87	0.6	5.e-002	0.1	1.7444e-003
88	0.55	5.e-002	0.1	1.4994e-003
89	0.5	5.e-002	0.1	1.2679e-003
90	0.45	5.e-002	0.1	1.0514e-003
91	0.4	5.e-002	0.1	8.5144e-004
92	0.35	5.e-002	0.1	6.6951e-004
93	0.3	5.e-002	0.1	5.0706e-004
94	0.25	5.e-002	0.1	3.6555e-004
