Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
1	0.95	-1.7347e-018	5.e-002	1.8552e-003
2	0.9	9.8608e-032	5.e-002	1.7055e-003
3	0.85	2.4652e-031	5.e-002	1.5572e-003
4	0.8	3.4694e-018	5.e-002	1.4112e-003
5	0.75	-3.6978e-032	5.e-002	1.2683e-003
6	0.7	0.	5.e-002	1.1292e-003
7	0.65	2.4652e-032	5.e-002	9.9466e-004
8	0.6	0.	5.e-002	8.6539e-004
9	0.55	2.4652e-032	5.e-002	7.4217e-004
10	0.5	-3.4694e-018	5.e-002	6.2574e-004
11	0.45	-3.4694e-018	5.e-002	5.1686e-004
12	0.4	5.5467e-032	5.e-002	4.1627e-004
13	0.35	0.	5.e-002	3.2473e-004
14	0.3	0.	5.e-002	2.4299e-004
15	0.25	-6.163e-033	5.e-002	1.7179e-004
16	0.2	-1.7347e-018	5.e-002	1.1189e-004
17	0.15	9.2445e-033	5.e-002	6.4047e-005
18	0.1	-1.7347e-018	5.e-002	2.8975e-005
19	5.e-002	-3.0815e-033	5.e-002	7.5211e-006
20	5.e-002	-6.163e-033	0.	5.9307e-006
21	0.1	-3.4694e-018	0.	2.7059e-005
22	0.15	1.8489e-032	0.	6.2177e-005
23	0.2	-3.4694e-018	0.	1.1012e-004
24	0.25	-1.2326e-032	0.	1.7013e-004
25	0.3	0.	0.	2.4144e-004
26	0.35	0.	0.	3.2329e-004
27	0.4	1.1093e-031	0.	4.1495e-004
28	0.45	-6.9389e-018	0.	5.1564e-004
29	0.5	-6.9389e-018	0.	6.2464e-004
30	0.55	4.9304e-032	0.	7.4118e-004
31	0.6	0.	0.	8.6451e-004
32	0.65	4.9304e-032	0.	9.939e-004
33	0.7	0.	0.	1.1286e-003
34	0.75	-7.3956e-032	0.	1.2678e-003
35	0.8	6.9389e-018	0.	1.4108e-003
36	0.85	4.9304e-031	0.	1.5569e-003
37	0.9	1.9722e-031	0.	1.7053e-003
38	0.95	-3.4694e-018	0.	1.8551e-003
39	0.95	0.	0.1	1.8551e-003
40	0.9	0.	0.1	1.7053e-003
41	0.85	0.	0.1	1.5569e-003
42	0.8	0.	0.1	1.4108e-003
43	0.75	0.	0.1	1.2678e-003
44	0.7	0.	0.1	1.1286e-003
45	0.65	0.	0.1	9.939e-004
46	0.6	0.	0.1	8.6451e-004
47	0.55	0.	0.1	7.4118e-004
48	0.5	0.	0.1	6.2464e-004
49	0.45	0.	0.1	5.1564e-004
50	0.4	0.	0.1	4.1495e-004
51	0.35	0.	0.1	3.2329e-004
52	0.3	0.	0.1	2.4144e-004
53	0.25	0.	0.1	1.7013e-004
54	0.2	0.	0.1	1.1012e-004
55	0.15	0.	0.1	6.2177e-005
56	0.1	0.	0.1	2.7059e-005
57	5.e-002	0.	0.1	5.9307e-006
58	5.e-002	-5.e-002	0.1	1.671e-005
59	0.1	-5.e-002	0.1	4.1157e-005
60	0.15	-5.e-002	0.1	7.7071e-005
61	0.2	-5.e-002	0.1	1.2503e-004
62	0.25	-5.e-002	0.1	1.8475e-004
63	0.3	-5.e-002	0.1	2.5562e-004
64	0.35	-5.e-002	0.1	3.3698e-004
65	0.4	-5.e-002	0.1	4.2809e-004
66	0.45	-5.e-002	0.1	5.2823e-004
67	0.5	-5.e-002	0.1	6.3665e-004
68	0.55	-5.e-002	0.1	7.5261e-004
69	0.6	-5.e-002	0.1	8.7536e-004
70	0.65	-5.e-002	0.1	1.0042e-003
71	0.7	-5.e-002	0.1	1.1382e-003
72	0.75	-5.e-002	0.1	1.2769e-003
73	0.8	-5.e-002	0.1	1.4193e-003
74	0.85	-5.e-002	0.1	1.5648e-003
75	0.9	-5.e-002	0.1	1.7126e-003
76	0.95	-5.e-002	0.1	1.862e-003
77	1.	-5.e-002	0.1	2.0118e-003
78	1.	0.	0.1	2.0055e-003
79	1.	5.e-002	0.1	2.0129e-003
80	0.95	5.e-002	0.1	1.8606e-003
81	0.9	5.e-002	0.1	1.7112e-003
82	0.85	5.e-002	0.1	1.5634e-003
83	0.8	5.e-002	0.1	1.4178e-003
84	0.75	5.e-002	0.1	1.2753e-003
85	0.7	5.e-002	0.1	1.1366e-003
86	0.65	5.e-002	0.1	1.0024e-003
87	0.6	5.e-002	0.1	8.7358e-004
88	0.55	5.e-002	0.1	7.5077e-004
89	0.5	5.e-002	0.1	6.3475e-004
90	0.45	5.e-002	0.1	5.2628e-004
91	0.4	5.e-002	0.1	4.261e-004
92	0.35	5.e-002	0.1	3.3494e-004
