Node Number	X Location (m)	Y Location (m)	Z Location (m)	Equivalent (von-Mises) Stress (Pa)
1	0.	-0.05	0.	9.6920e+07
2	0.	-0.05	0.025	9.6625e+07
3	0.	-0.05	0.05	9.6298e+07
4	0.	-0.05	0.075	9.6959e+07
5	0.	-0.05	0.1	9.6015e+07
6	0.	-0.025	0.	2.5034e+07
7	0.	-0.025	0.025	2.5163e+07
8	0.	-0.025	0.05	2.5222e+07
9	0.	-0.025	0.075	2.5130e+07
10	0.	-0.025	0.1	2.5357e+07
11	0.	0.	0.	1.4546e+08
12	0.	0.	0.025	1.4237e+08
13	0.	0.	0.05	1.4421e+08
14	0.	0.	0.075	1.4102e+08
15	0.	0.	0.1	1.4427e+08
16	0.	0.025	0.	2.6390e+08
17	0.	0.025	0.025	2.6787e+08
18	0.	0.025	0.05	2.6723e+08
19	0.	0.025	0.075	2.6609e+08
20	0.	0.025	0.1	2.6209e+08
21	0.	0.05	0.	3.8087e+08
22	0.	0.05	0.025	3.8063e+08
23	0.	0.05	0.05	3.8869e+08
24	0.	0.05	0.075	3.8120e+08
25	0.	0.05	0.1	3.8282e+08
26	0.025	-0.05	0.	8.9352e+07
27	0.025	-0.05	0.025	8.9094e+07
28	0.025	-0.05	0.05	9.0239e+07
29	0.025	-0.05	0.075	9.0110e+07
30	0.025	-0.05	0.1	8.8398e+07
31	0.025	-0.025	0.	2.7810e+07
32	0.025	-0.025	0.025	2.8160e+07
33	0.025	-0.025	0.05	2.8086e+07
34	0.025	-0.025	0.075	2.8012e+07
35	0.025	-0.025	0.1	2.8239e+07
36	0.025	0.	0.	1.4271e+08
37	0.025	0.	0.025	1.4369e+08
38	0.025	0.	0.05	1.4497e+08
39	0.025	0.	0.075	1.4362e+08
40	0.025	0.	0.1	1.4474e+08
41	0.025	0.025	0.	2.5872e+08
42	0.025	0.025	0.025	2.5940e+08
43	0.025	0.025	0.05	2.5739e+08
44	0.025	0.025	0.075	2.5682e+08
45	0.025	0.025	0.1	2.6012e+08
46	0.025	0.05	0.	3.7936e+08
47	0.025	0.05	0.025	3.7765e+08
48	0.025	0.05	0.05	3.8151e+08
49	0.025	0.05	0.075	3.7681e+08
50	0.025	0.05	0.1	3.7159e+08
51	0.05	-0.05	0.	8.4231e+07
52	0.05	-0.05	0.025	8.3275e+07
53	0.05	-0.05	0.05	8.4085e+07
54	0.05	-0.05	0.075	8.2464e+07
55	0.05	-0.05	0.1	8.3815e+07
56	0.05	-0.025	0.	3.1170e+07
57	0.05	-0.025	0.025	3.1140e+07
58	0.05	-0.025	0.05	3.0934e+07
59	0.05	-0.025	0.075	3.0983e+07
60	0.05	-0.025	0.1	3.0873e+07
61	0.05	0.	0.	1.4403e+08
62	0.05	0.	0.025	1.4510e+08
63	0.05	0.	0.05	1.4351e+08
64	0.05	0.	0.075	1.4362e+08
65	0.05	0.	0.1	1.4255e+08
66	0.05	0.025	0.	2.5945e+08
67	0.05	0.025	0.025	2.5746e+08
68	0.05	0.025	0.05	2.5551e+08
69	0.05	0.025	0.075	2.5982e+08
70	0.05	0.025	0.1	2.5791e+08
71	0.05	0.05	0.	3.6963e+08
72	0.05	0.05	0.025	3.7449e+08
73	0.05	0.05	0.05	3.7082e+08
74	0.05	0.05	0.075	3.6717e+08
75	0.05	0.05	0.1	3.7469e+08
76	0.075	-0.05	0.	7.7442e+07
77	0.075	-0.05	0.025	7.9851e+07
78	0.075	-0.05	0.05	7.7688e+07
79	0.075	-0.05	0.075	7.6708e+07
80	0.075	-0.05	0.1	7.9061e+07
81	0.075	-0.025	0.	3.3878e+07
82	0.075	-0.025	0.025	3.3963e+07
83	0.075	-0.025	0.05	3.3997e+07
84	0.075	-0.025	0.075	3.3524e+07
85	0.075	-0.025	0.1	3.3305e+07
86	0.075	0.	0.	1.4657e+08
87	0.075	0.	0.025	1.4251e+08
88	0.075	0.	0.05	1.4620e+08
89	0.075	0.	0.075	1.4492e+08
90	0.075	0.	0.1	1.4451e+08
91	0.075	0.025	0.	2.5405e+08
92	0.075	0.025	0.025	2.5972e+08
93	0.075	0.025	0.05	2.5359e+08
94	0.075	0.025	0.075	2.5365e+08
95	0.075	0.025	0.1	2.5638e+08
96	0.075	0.05	0.	3.6387e+08
97	0.075	0.05	0.025	3.6288e+08
98	0.075	0.05	0.05	3.6567e+08
99	0.075	0.05	0.075	3.6786e+08
100	0.075	0.05	0.1	3.7135e+08
101	0.1	-0.05	0.	7.3170e+07
102	0.1	-0.05	0.025	7.0938e+07
103	0.1	-0.05	0.05	7.2570e+07
104	0.1	-0.05	0.075	7.1403e+07
105	0.1	-0.05	0.1	7.1432e+07
106	0.1	-0.025	0.	3.6660e+07
107	0.1	-0.025	0.025	3.6641e+07
108	0.1	-0.025	0.05	3.6503e+07
109	0.1	-0.025	0.075	3.6133e+07
110	0.1	-0.025	0.1	3.7245e+07
111	0.1	0.	0.	1.4535e+08
112	0.1	0.	0.025	1.4430e+08
113	0.1	0.	0.05	1.4320e+08
114	0.1	0.	0.075	1.4574e+08
115	0.1	0.	0.1	1.4424e+08
116	0.1	0.025	0.	2.5086e+08
117	0.1	0.025	0.025	2.4870e+08
118	0.1	0.025	0.05	2.5310e+08
119	0.1	0.025	0.075	2.5134e+08
120	0.1	0.025	0.1	2.5254e+08
121	0.1	0.05	0.	3.6034e+08
122	0.1	0.05	0.025	3.6168e+08
123	0.1	0.05	0.05	3.6048e+08
124	0.1	0.05	0.075	3.5898e+08
125	0.1	0.05	0.1	3.6145e+08
126	0.125	-0.05	0.	6.6475e+07
127	0.125	-0.05	0.025	6.6790e+07
128	0.125	-0.05	0.05	6.5382e+07
129	0.125	-0.05	0.075	6.6561e+07
130	0.125	-0.05	0.1	6.5135e+07
131	0.125	-0.025	0.	4.0078e+07
132	0.125	-0.025	0.025	3.9567e+07
133	0.125	-0.025	0.05	4.0023e+07
134	0.125	-0.025	0.075	4.0230e+07
135	0.125	-0.025	0.1	3.9828e+07
136	0.125	0.	0.	1.4432e+08
137	0.125	0.	0.025	1.4426e+08
138	0.125	0.	0.05	1.4383e+08
139	0.125	0.	0.075	1.4567e+08
140	0.125	0.	0.1	1.4425e+08
141	0.125	0.025	0.	2.4479e+08
142	0.125	0.025	0.025	2.5088e+08
143	0.125	0.025	0.05	2.5078e+08
144	0.125	0.025	0.075	2.4921e+08
145	0.125	0.025	0.1	2.4755e+08
146	0.125	0.05	0.	3.5071e+08
147	0.125	0.05	0.025	3.5178e+08
148	0.125	0.05	0.05	3.5456e+08
149	0.125	0.05	0.075	3.4878e+08
150	0.125	0.05	0.1	3.5520e+08
151	0.15	-0.05	0.	6.0035e+07
152	0.15	-0.05	0.025	6.0618e+07
153	0.15	-0.05	0.05	6.0337e+07
154	0.15	-0.05	0.075	5.9653e+07
155	0.15	-0.05	0.1	5.9188e+07
156	0.15	-0.025	0.	4.2436e+07
157	0.15	-0.025	0.025	4.3189e+07
158	0.15	-0.025	0.05	4.2818e+07
159	0.15	-0.025	0.075	4.2921e+07
160	0.15	-0.025	0.1	4.2502e+07
161	0.15	0.	0.	1.4493e+08
162	0.15	0.	0.025	1.4262e+08
163	0.15	0.	0.05	1.4545e+08
164	0.15	0.	0.075	1.4304e+08
165	0.15	0.	0.1	1.4209e+08
166	0.15	0.025	0.	2.5058e+08
167	0.15	0.025	0.025	2.4639e+08
168	0.15	0.025	0.05	2.4633e+08
169	0.15	0.025	0.075	2.4244e+08
170	0.15	0.025	0.1	2.4735e+08
171	0.15	0.05	0.	3.5047e+08
172	0.15	0.05	0.025	3.4745e+08
173	0.15	0.05	0.05	3.5048e+08
174	0.15	0.05	0.075	3.5126e+08
175	0.15	0.05	0.1	3.4946e+08
176	0.175	-0.05	0.	5.3064e+07
177	0.175	-0.05	0.025	5.3503e+07
178	0.175	-0.05	0.05	5.4729e+07
179	0.175	-0.05	0.075	5.4036e+07
180	0.175	-0.05	0.1	5.4038e+07
181	0.175	-0.025	0.	4.5366e+07
182	0.175	-0.025	0.025	4.5437e+07
183	0.175	-0.025	0.05	4.6106e+07
184	0.175	-0.025	0.075	4.6217e+07
185	0.175	-0.025	0.1	4.5961e+07
186	0.175	0.	0.	1.4501e+08
187	0.175	0.	0.025	1.4510e+08
188	0.175	0.	0.05	1.4429e+08
189	0.175	0.	0.075	1.4298e+08
190	0.175	0.	0.1	1.4273e+08
191	0.175	0.025	0.	2.4568e+08
192	0.175	0.025	0.025	2.4306e+08
193	0.175	0.025	0.05	2.4405e+08
194	0.175	0.025	0.075	2.4353e+08
195	0.175	0.025	0.1	2.4363e+08
196	0.175	0.05	0.	3.4294e+08
197	0.175	0.05	0.025	3.4391e+08
198	0.175	0.05	0.05	3.3990e+08
199	0.175	0.05	0.075	3.4524e+08
200	0.175	0.05	0.1	3.3998e+08
201	0.2	-0.05	0.	4.8092e+07
202	0.2	-0.05	0.025	4.7546e+07
203	0.2	-0.05	0.05	4.7936e+07
204	0.2	-0.05	0.075	4.7747e+07
205	0.2	-0.05	0.1	4.8009e+07
206	0.2	-0.025	0.	4.8915e+07
207	0.2	-0.025	0.025	4.8658e+07
208	0.2	-0.025	0.05	4.9392e+07
209	0.2	-0.025	0.075	4.8938e+07
210	0.2	-0.025	0.1	4.8540e+07
211	0.2	0.	0.	1.4428e+08
212	0.2	0.	0.025	1.4481e+08
213	0.2	0.	0.05	1.4519e+08
214	0.2	0.	0.075	1.4295e+08
215	0.2	0.	0.1	1.4511e+08
216	0.2	0.025	0.	2.3781e+08
217	0.2	0.025	0.025	2.4116e+08
218	0.2	0.025	0.05	2.4224e+08
219	0.2	0.025	0.075	2.4070e+08
220	0.2	0.025	0.1	2.3566e+08
221	0.2	0.05	0.	3.3121e+08
222	0.2	0.05	0.025	3.3751e+08
223	0.2	0.05	0.05	3.2940e+08
224	0.2	0.05	0.075	3.3764e+08
225	0.2	0.05	0.1	3.3865e+08
226	0.225	-0.05	0.	4.2381e+07
227	0.225	-0.05	0.025	4.1919e+07
228	0.225	-0.05	0.05	4.2147e+07
229	0.225	-0.05	0.075	4.2070e+07
230	0.225	-0.05	0.1	4.1505e+07
231	0.225	-0.025	0.	5.1900e+07
232	0.225	-0.025	0.025	5.2166e+07
233	0.225	-0.025	0.05	5.1877e+07
234	0.225	-0.025	0.075	5.1385e+07
235	0.225	-0.025	0.1	5.1898e+07
236	0.225	0.	0.	1.4587e+08
237	0.225	0.	0.025	1.4572e+08
238	0.225	0.	0.05	1.4556e+08
239	0.225	0.	0.075	1.4254e+08
240	0.225	0.	0.1	1.4483e+08
241	0.225	0.025	0.	2.3835e+08
242	0.225	0.025	0.025	2.3910e+08
243	0.225	0.025	0.05	2.3811e+08
244	0.225	0.025	0.075	2.4007e+08
245	0.225	0.025	0.1	2.3366e+08
246	0.225	0.05	0.	3.3147e+08
247	0.225	0.05	0.025	3.3126e+08
248	0.225	0.05	0.05	3.3238e+08
249	0.225	0.05	0.075	3.3407e+08
250	0.225	0.05	0.1	3.2765e+08
251	0.25	-0.05	0.	3.6434e+07
252	0.25	-0.05	0.025	3.6235e+07
253	0.25	-0.05	0.05	3.5946e+07
254	0.25	-0.05	0.075	3.5738e+07
255	0.25	-0.05	0.1	3.6057e+07
256	0.25	-0.025	0.	5.4684e+07
257	0.25	-0.025	0.025	5.4709e+07
258	0.25	-0.025	0.05	5.4286e+07
259	0.25	-0.025	0.075	5.4826e+07
260	0.25	-0.025	0.1	5.4383e+07
261	0.25	0.	0.	1.4578e+08
262	0.25	0.	0.025	1.4635e+08
263	0.25	0.	0.05	1.4344e+08
264	0.25	0.	0.075	1.4444e+08
265	0.25	0.	0.1	1.4550e+08
266	0.25	0.025	0.	2.3465e+08
267	0.25	0.025	0.025	2.3160e+08
268	0.25	0.025	0.05	2.3575e+08
269	0.25	0.025	0.075	2.3300e+08
270	0.25	0.025	0.1	2.3451e+08
271	0.25	0.05	0.	3.2142e+08
272	0.25	0.05	0.025	3.2606e+08
273	0.25	0.05	0.05	3.2291e+08
274	0.25	0.05	0.075	3.2633e+08
275	0.25	0.05	0.1	3.2344e+08
276	0.275	-0.05	0.	2.9885e+07
277	0.275	-0.05	0.025	3.0099e+07
278	0.275	-0.05	0.05	2.9742e+07
279	0.275	-0.05	0.075	3.0432e+07
280	0.275	-0.05	0.1	3.0045e+07
281	0.275	-0.025	0.	5.7270e+07
282	0.275	-0.025	0.025	5.7347e+07
283	0.275	-0.025	0.05	5.7539e+07
284	0.275	-0.025	0.075	5.7989e+07
285	0.275	-0.025	0.1	5.7119e+07
286	0.275	0.	0.	1.4395e+08
287	0.275	0.	0.025	1.4432e+08
288	0.275	0.	0.05	1.4616e+08
289	0.275	0.	0.075	1.4553e+08
290	0.275	0.	0.1	1.4621e+08
291	0.275	0.025	0.	2.3119e+08
292	0.275	0.025	0.025	2.3378e+08
293	0.275	0.025	0.05	2.3347e+08
294	0.275	0.025	0.075	2.3242e+08
295	0.275	0.025	0.1	2.3257e+08
296	0.275	0.05	0.	3.1649e+08
297	0.275	0.05	0.025	3.2265e+08
298	0.275	0.05	0.05	3.1738e+08
299	0.275	0.05	0.075	3.1942e+08
300	0.275	0.05	0.1	3.1972e+08
301	0.3	-0.05	0.	2.3737e+07
302	0.3	-0.05	0.025	2.3990e+07
303	0.3	-0.05	0.05	2.4039e+07
304	0.3	-0.05	0.075	2.3978e+07
305	0.3	-0.05	0.1	2.3992e+07
306	0.3	-0.025	0.	6.1227e+07
307	0.3	-0.025	0.025	6.0104e+07
